init_Strategy: 0, init_table: 0, init_desp: 0, inti_Stt: 0, init_COstModel: 0
Simulator Device: fifo part=4, smr part=5
totalreq:1960000, readreq:0, wrtreq:1615775, hit:876356, readhit:0, flush_ssd_blk:1615775 flush_hdd_blk:0
totalreq:1970000, readreq:0, wrtreq:1624010, hit:882235, readhit:0, flush_ssd_blk:1624010 flush_hdd_blk:0
totalreq:1980000, readreq:0, wrtreq:1632004, hit:887252, readhit:0, flush_ssd_blk:1632004 flush_hdd_blk:0
totalreq:1990000, readreq:0, wrtreq:1639723, hit:891932, readhit:0, flush_ssd_blk:1639723 flush_hdd_blk:0
totalreq:2000000, readreq:0, wrtreq:1647680, hit:896962, readhit:0, flush_ssd_blk:1647680 flush_hdd_blk:0
totalreq:2010000, readreq:0, wrtreq:1655744, hit:902551, readhit:0, flush_ssd_blk:1655744 flush_hdd_blk:0
totalreq:2020000, readreq:0, wrtreq:1663706, hit:907754, readhit:0, flush_ssd_blk:1663706 flush_hdd_blk:0
totalreq:2030000, readreq:0, wrtreq:1671585, hit:912569, readhit:0, flush_ssd_blk:1671585 flush_hdd_blk:0
totalreq:2040000, readreq:0, wrtreq:1679350, hit:917917, readhit:0, flush_ssd_blk:1679350 flush_hdd_blk:0
totalreq:2050000, readreq:0, wrtreq:1687284, hit:922907, readhit:0, flush_ssd_blk:1687284 flush_hdd_blk:0
totalreq:2060000, readreq:0, wrtreq:1695508, hit:927820, readhit:0, flush_ssd_blk:1695508 flush_hdd_blk:0
totalreq:2070000, readreq:0, wrtreq:1703445, hit:932125, readhit:0, flush_ssd_blk:1703445 flush_hdd_blk:0
totalreq:2080000, readreq:0, wrtreq:1710574, hit:936108, readhit:0, flush_ssd_blk:1710574 flush_hdd_blk:0
totalreq:2090000, readreq:0, wrtreq:1718023, hit:939737, readhit:0, flush_ssd_blk:1718023 flush_hdd_blk:0
totalreq:2100000, readreq:0, wrtreq:1725115, hit:943895, readhit:0, flush_ssd_blk:1725115 flush_hdd_blk:0
totalreq:2110000, readreq:0, wrtreq:1731352, hit:947513, readhit:0, flush_ssd_blk:1731352 flush_hdd_blk:0
totalreq:2120000, readreq:0, wrtreq:1737724, hit:950527, readhit:0, flush_ssd_blk:1737724 flush_hdd_blk:0
totalreq:2130000, readreq:0, wrtreq:1744368, hit:954349, readhit:0, flush_ssd_blk:1744368 flush_hdd_blk:0
totalreq:2140000, readreq:0, wrtreq:1751095, hit:957818, readhit:0, flush_ssd_blk:1751095 flush_hdd_blk:0
totalreq:2150000, readreq:0, wrtreq:1758368, hit:961548, readhit:0, flush_ssd_blk:1758368 flush_hdd_blk:0
totalreq:2160000, readreq:0, wrtreq:1765585, hit:965453, readhit:0, flush_ssd_blk:1765585 flush_hdd_blk:0
totalreq:2170000, readreq:0, wrtreq:1772223, hit:968825, readhit:0, flush_ssd_blk:1772223 flush_hdd_blk:0
totalreq:2180000, readreq:0, wrtreq:1778421, hit:971439, readhit:0, flush_ssd_blk:1778421 flush_hdd_blk:0
totalreq:2190000, readreq:0, wrtreq:1784434, hit:974544, readhit:0, flush_ssd_blk:1784434 flush_hdd_blk:0
totalreq:2200000, readreq:0, wrtreq:1790434, hit:977053, readhit:0, flush_ssd_blk:1790434 flush_hdd_blk:0
